epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3939,1.8249,2.45126,1.08501,0.25957,0.1691,0.12249,0.06469,1.69636,1.57836,1.0327,0.0033251,0.0033251,0.0033251
2,77.2462,1.74379,1.61765,1.03214,0.21935,0.2003,0.15498,0.08476,1.6764,1.45102,1.00367,0.00659252,0.00659252,0.00659252
3,113.368,1.75418,1.54675,1.02336,0.2601,0.20762,0.17484,0.09334,1.6684,1.41899,1.00457,0.00979393,0.00979393,0.00979393
4,149.651,1.7283,1.50153,1.01367,0.2428,0.22657,0.18047,0.10022,1.6329,1.41443,0.98919,0.009703,0.009703,0.009703
5,185.289,1.68426,1.43548,1.00121,0.28463,0.23164,0.19805,0.11181,1.60536,1.31877,0.97329,0.009604,0.009604,0.009604
6,220.567,1.65677,1.38282,0.99029,0.28563,0.23444,0.21209,0.11728,1.60464,1.3001,0.97613,0.009505,0.009505,0.009505
7,256.029,1.63406,1.34634,0.98468,0.3123,0.25232,0.22483,0.12431,1.5557,1.25319,0.96264,0.009406,0.009406,0.009406
8,291.873,1.60726,1.31575,0.97672,0.32743,0.24702,0.22387,0.12722,1.56995,1.29462,0.96101,0.009307,0.009307,0.009307
9,327.483,1.5894,1.2886,0.97187,0.36541,0.26024,0.24311,0.13704,1.51633,1.20151,0.96056,0.009208,0.009208,0.009208
10,362.864,1.57968,1.26318,0.96566,0.32919,0.26955,0.24605,0.13829,1.5141,1.18566,0.95458,0.009109,0.009109,0.009109
11,398.491,1.55788,1.23564,0.96429,0.32941,0.26944,0.24448,0.1354,1.49309,1.25368,0.95513,0.00901,0.00901,0.00901
12,434.391,1.55334,1.23071,0.96179,0.35457,0.26791,0.24964,0.13806,1.50697,1.19451,0.94931,0.008911,0.008911,0.008911
13,470.712,1.54148,1.208,0.96068,0.35448,0.27126,0.25189,0.14224,1.48023,1.17217,0.94748,0.008812,0.008812,0.008812
14,506.48,1.52501,1.2015,0.95516,0.36959,0.28603,0.2703,0.15211,1.48059,1.14523,0.94606,0.008713,0.008713,0.008713
15,542.176,1.53788,1.18942,0.95479,0.36634,0.29392,0.27024,0.15237,1.45607,1.14207,0.94257,0.008614,0.008614,0.008614
16,578.204,1.52392,1.17959,0.95395,0.37241,0.28201,0.26795,0.15266,1.46582,1.14228,0.9393,0.008515,0.008515,0.008515
17,614.024,1.51187,1.1669,0.95001,0.35866,0.28688,0.26537,0.15034,1.46655,1.13332,0.93824,0.008416,0.008416,0.008416
18,649.734,1.51057,1.15976,0.94922,0.38731,0.28548,0.27584,0.15608,1.45649,1.11479,0.93881,0.008317,0.008317,0.008317
19,685.247,1.49608,1.14759,0.94844,0.37341,0.2928,0.27525,0.15586,1.45879,1.11099,0.93712,0.008218,0.008218,0.008218
20,720.843,1.49029,1.14241,0.94526,0.38331,0.2931,0.27615,0.15617,1.44288,1.10487,0.93482,0.008119,0.008119,0.008119
21,756.516,1.48667,1.13265,0.94341,0.37899,0.29841,0.28111,0.15923,1.4365,1.1037,0.93237,0.00802,0.00802,0.00802
22,792.046,1.47589,1.12275,0.94211,0.37684,0.28491,0.26945,0.15456,1.43974,1.11174,0.93526,0.007921,0.007921,0.007921
23,827.281,1.47669,1.1192,0.94347,0.37052,0.29847,0.28241,0.15959,1.42471,1.0961,0.93607,0.007822,0.007822,0.007822
24,862.635,1.46489,1.10846,0.93991,0.39763,0.28749,0.28202,0.16319,1.42305,1.09038,0.9306,0.007723,0.007723,0.007723
25,898.504,1.46215,1.10132,0.93863,0.38747,0.29244,0.2832,0.16364,1.43321,1.10821,0.93148,0.007624,0.007624,0.007624
26,935.355,1.47124,1.1073,0.94006,0.4069,0.29515,0.29162,0.1675,1.41802,1.09297,0.92879,0.007525,0.007525,0.007525
27,972.386,1.45949,1.09892,0.93483,0.40504,0.30229,0.29337,0.16635,1.42477,1.07947,0.92866,0.007426,0.007426,0.007426
28,1008.93,1.45506,1.09006,0.93364,0.40288,0.30108,0.29278,0.16757,1.42056,1.07775,0.93089,0.007327,0.007327,0.007327
29,1044.52,1.45077,1.08781,0.93366,0.41673,0.30247,0.2996,0.17185,1.41522,1.06584,0.92727,0.007228,0.007228,0.007228
30,1080.48,1.45124,1.08041,0.93368,0.41035,0.29944,0.29769,0.17021,1.4036,1.06728,0.92575,0.007129,0.007129,0.007129
31,1115.8,1.44249,1.07546,0.93359,0.41487,0.30327,0.29842,0.17241,1.40573,1.06703,0.92503,0.00703,0.00703,0.00703
32,1151.18,1.44497,1.07003,0.93171,0.40038,0.3108,0.29872,0.17159,1.39221,1.06338,0.92198,0.006931,0.006931,0.006931
33,1186.2,1.4433,1.07086,0.93238,0.414,0.30455,0.30501,0.17635,1.39779,1.04542,0.92369,0.006832,0.006832,0.006832
34,1221.28,1.43868,1.06761,0.92973,0.40799,0.30903,0.30451,0.17427,1.40141,1.04565,0.92473,0.006733,0.006733,0.006733
35,1256.31,1.43409,1.06044,0.92906,0.42619,0.30708,0.30924,0.17818,1.38949,1.04798,0.92088,0.006634,0.006634,0.006634
36,1291.4,1.42663,1.05477,0.92913,0.41492,0.31445,0.30891,0.17769,1.39289,1.04275,0.92377,0.006535,0.006535,0.006535
37,1326.45,1.42357,1.05129,0.92773,0.40878,0.31197,0.30271,0.17522,1.39251,1.04838,0.92232,0.006436,0.006436,0.006436
38,1361.92,1.42915,1.05151,0.92756,0.41483,0.31405,0.30954,0.17834,1.39104,1.04164,0.92031,0.006337,0.006337,0.006337
39,1397.4,1.41851,1.04034,0.9245,0.3988,0.31932,0.30699,0.17783,1.38452,1.03786,0.91852,0.006238,0.006238,0.006238
40,1432.85,1.41631,1.04199,0.9257,0.41109,0.31144,0.30774,0.17908,1.38847,1.03698,0.91945,0.006139,0.006139,0.006139
41,1468.04,1.40769,1.03011,0.92423,0.42631,0.31593,0.31252,0.18078,1.37942,1.03284,0.91972,0.00604,0.00604,0.00604
42,1503.44,1.4097,1.03584,0.92545,0.42027,0.32184,0.3147,0.18267,1.37801,1.02865,0.9199,0.005941,0.005941,0.005941
43,1538.77,1.41398,1.03446,0.9234,0.43369,0.3089,0.31209,0.18066,1.36922,1.02473,0.91681,0.005842,0.005842,0.005842
44,1574.2,1.40828,1.02672,0.92279,0.41848,0.31614,0.30984,0.1798,1.37476,1.02982,0.91747,0.005743,0.005743,0.005743
45,1609.25,1.39884,1.01955,0.92172,0.42641,0.31733,0.31722,0.18271,1.37076,1.01984,0.91631,0.005644,0.005644,0.005644
46,1644.67,1.40611,1.01888,0.92283,0.4217,0.31748,0.31577,0.18335,1.36103,1.01736,0.9128,0.005545,0.005545,0.005545
47,1680.04,1.39781,1.01642,0.9215,0.4275,0.31353,0.31478,0.18351,1.36673,1.02808,0.91441,0.005446,0.005446,0.005446
48,1715.23,1.39889,1.01708,0.92093,0.42711,0.31784,0.3171,0.18266,1.36957,1.01757,0.91641,0.005347,0.005347,0.005347
49,1750.27,1.3933,1.0103,0.91952,0.42011,0.3229,0.31791,0.18498,1.36485,1.01363,0.91552,0.005248,0.005248,0.005248
50,1786.08,1.38824,1.01007,0.92049,0.43979,0.32439,0.32523,0.18948,1.35751,1.0079,0.91498,0.005149,0.005149,0.005149
51,1821.86,1.38658,1.00588,0.91833,0.43236,0.32219,0.31887,0.1848,1.36269,1.0114,0.91533,0.00505,0.00505,0.00505
52,1857.49,1.38585,0.99837,0.91826,0.43142,0.3224,0.32183,0.18767,1.35804,1.00702,0.91461,0.004951,0.004951,0.004951
53,1894,1.38895,1.00496,0.92008,0.41808,0.33116,0.32012,0.18475,1.36116,1.01307,0.9155,0.004852,0.004852,0.004852
54,1929.58,1.38304,0.99821,0.91646,0.43973,0.32197,0.32321,0.18843,1.35734,1.00386,0.91283,0.004753,0.004753,0.004753
55,1965.38,1.37654,0.9909,0.91688,0.43091,0.32547,0.32157,0.18655,1.35736,1.00395,0.91281,0.004654,0.004654,0.004654
56,2000.91,1.38117,0.98821,0.91542,0.42666,0.3291,0.3231,0.18664,1.35487,1.00503,0.9129,0.004555,0.004555,0.004555
57,2036.57,1.3742,0.99028,0.91426,0.43488,0.32512,0.32556,0.18977,1.34839,1.00056,0.91092,0.004456,0.004456,0.004456
58,2071.65,1.36811,0.97954,0.91455,0.4311,0.32684,0.32495,0.18917,1.3517,0.99687,0.91182,0.004357,0.004357,0.004357
59,2106.71,1.36982,0.98044,0.91459,0.4331,0.33207,0.32873,0.19071,1.35251,0.99541,0.91248,0.004258,0.004258,0.004258
60,2141.88,1.37243,0.98256,0.91424,0.43891,0.32884,0.32492,0.18865,1.35298,0.99723,0.91134,0.004159,0.004159,0.004159
61,2177.05,1.36317,0.97569,0.91386,0.4391,0.33046,0.32756,0.19069,1.34721,0.99438,0.90946,0.00406,0.00406,0.00406
62,2212.29,1.36464,0.97826,0.91265,0.4433,0.33171,0.32969,0.19089,1.34466,0.99107,0.90964,0.003961,0.003961,0.003961
63,2247.32,1.35872,0.97017,0.9128,0.44489,0.32985,0.33083,0.19181,1.34881,0.99171,0.91029,0.003862,0.003862,0.003862
64,2282.36,1.36108,0.97083,0.91302,0.43777,0.32872,0.3281,0.19151,1.345,0.99196,0.909,0.003763,0.003763,0.003763
65,2318.36,1.35977,0.96423,0.9112,0.43941,0.33068,0.32808,0.19117,1.34471,0.992,0.90923,0.003664,0.003664,0.003664
66,2353.7,1.36019,0.96732,0.91238,0.44101,0.33303,0.33072,0.19318,1.33925,0.99004,0.90853,0.003565,0.003565,0.003565
67,2389.25,1.35957,0.9632,0.9116,0.44523,0.33137,0.33047,0.19288,1.34029,0.98662,0.90886,0.003466,0.003466,0.003466
68,2424.64,1.35691,0.95911,0.90986,0.43511,0.33312,0.33011,0.19336,1.33798,0.98805,0.90854,0.003367,0.003367,0.003367
69,2460.34,1.34292,0.95216,0.90958,0.44141,0.3325,0.3312,0.19379,1.34244,0.98811,0.90965,0.003268,0.003268,0.003268
70,2495.55,1.345,0.94978,0.9101,0.42971,0.33528,0.32995,0.19235,1.34281,0.98755,0.90991,0.003169,0.003169,0.003169
71,2531.28,1.34752,0.95137,0.90882,0.43914,0.33484,0.33328,0.19389,1.34081,0.98549,0.90841,0.00307,0.00307,0.00307
72,2567.24,1.34995,0.95344,0.90908,0.43216,0.3383,0.33052,0.19313,1.33993,0.98449,0.9084,0.002971,0.002971,0.002971
