epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6328,1.54301,1.61868,0.99222,0.34651,0.2512,0.22603,0.12942,1.43162,1.18116,0.94018,0.0033251,0.0033251,0.0033251
2,96.8114,1.49993,1.21232,0.95221,0.38802,0.29575,0.27674,0.15871,1.40347,1.10875,0.92921,0.00659252,0.00659252,0.00659252
3,143.036,1.53926,1.21811,0.95672,0.36562,0.28118,0.26052,0.14703,1.46116,1.19507,0.93883,0.00979393,0.00979393,0.00979393
4,189.093,1.53918,1.20113,0.95978,0.37246,0.28399,0.27211,0.15556,1.45071,1.15203,0.94136,0.009703,0.009703,0.009703
5,235.066,1.50193,1.16452,0.95242,0.37236,0.29239,0.27649,0.16079,1.41929,1.10387,0.93198,0.009604,0.009604,0.009604
6,281.242,1.48104,1.12715,0.94551,0.41978,0.29861,0.28781,0.16572,1.41192,1.12035,0.93238,0.009505,0.009505,0.009505
7,328.001,1.46264,1.10404,0.94326,0.40804,0.30884,0.29793,0.17216,1.38667,1.07394,0.92505,0.009406,0.009406,0.009406
8,374.348,1.43747,1.07797,0.93597,0.43069,0.32896,0.32363,0.18558,1.37006,1.05436,0.92076,0.009307,0.009307,0.009307
9,424.353,1.42153,1.06053,0.93341,0.41207,0.3148,0.30847,0.17894,1.35743,1.03879,0.9187,0.009208,0.009208,0.009208
10,473.408,1.41119,1.04599,0.9277,0.41669,0.32868,0.31825,0.18499,1.34761,1.02425,0.91852,0.009109,0.009109,0.009109
11,519.682,1.38966,1.0212,0.92633,0.44022,0.32586,0.32531,0.19034,1.33051,1.01274,0.91431,0.00901,0.00901,0.00901
12,565.783,1.38316,1.01633,0.92367,0.42668,0.33117,0.32619,0.19154,1.33175,1.00717,0.91124,0.008911,0.008911,0.008911
13,612.39,1.37253,0.99917,0.92245,0.43083,0.33916,0.33148,0.19345,1.31539,0.99649,0.91039,0.008812,0.008812,0.008812
14,658.416,1.35876,0.99516,0.91756,0.4329,0.35065,0.33956,0.19807,1.32037,0.98379,0.90906,0.008713,0.008713,0.008713
15,706.24,1.37076,0.98879,0.91786,0.44709,0.34218,0.34128,0.20061,1.31061,0.98181,0.91103,0.008614,0.008614,0.008614
16,752.21,1.35716,0.97843,0.91719,0.45979,0.3352,0.33841,0.19862,1.3148,0.99358,0.91038,0.008515,0.008515,0.008515
17,799.244,1.34691,0.96729,0.91386,0.459,0.3458,0.3501,0.20338,1.31135,0.97753,0.90741,0.008416,0.008416,0.008416
18,845.707,1.34471,0.96174,0.91335,0.45152,0.34517,0.34551,0.2011,1.30814,0.97442,0.90768,0.008317,0.008317,0.008317
19,892.063,1.32942,0.95294,0.91201,0.44625,0.35701,0.35241,0.20769,1.29408,0.95792,0.9044,0.008218,0.008218,0.008218
20,937.746,1.32496,0.94883,0.90997,0.46456,0.35061,0.35526,0.20911,1.30054,0.95871,0.9057,0.008119,0.008119,0.008119
21,986.569,1.32006,0.93698,0.90739,0.46406,0.35766,0.35804,0.21088,1.29023,0.95142,0.9018,0.00802,0.00802,0.00802
22,1041.44,1.31143,0.9306,0.90695,0.44873,0.35459,0.35008,0.20829,1.27678,0.94702,0.9004,0.007921,0.007921,0.007921
23,1095.33,1.31087,0.92716,0.90753,0.47342,0.35022,0.35892,0.2125,1.27885,0.9466,0.9006,0.007822,0.007822,0.007822
24,1148.84,1.30044,0.91739,0.90491,0.47645,0.34966,0.35994,0.21259,1.2795,0.93981,0.90159,0.007723,0.007723,0.007723
25,1203.22,1.29818,0.91173,0.9036,0.4899,0.35396,0.36512,0.21755,1.27489,0.93662,0.8981,0.007624,0.007624,0.007624
26,1257.72,1.30429,0.91493,0.90475,0.47324,0.35756,0.3681,0.21846,1.27144,0.92886,0.89698,0.007525,0.007525,0.007525
27,1312.01,1.294,0.90801,0.90013,0.48849,0.36287,0.37187,0.22078,1.2743,0.92786,0.89754,0.007426,0.007426,0.007426
28,1366.01,1.28996,0.89878,0.89894,0.47893,0.36129,0.37243,0.22029,1.25932,0.91606,0.89704,0.007327,0.007327,0.007327
29,1420.72,1.28445,0.89558,0.89847,0.48694,0.36207,0.37053,0.22023,1.26222,0.92106,0.89588,0.007228,0.007228,0.007228
30,1475.71,1.28514,0.89099,0.89918,0.46975,0.3668,0.37157,0.21929,1.26537,0.92592,0.89717,0.007129,0.007129,0.007129
31,1533.53,1.27557,0.88639,0.89833,0.48067,0.36188,0.37241,0.22231,1.25739,0.91547,0.89589,0.00703,0.00703,0.00703
32,1591.3,1.27772,0.87948,0.89679,0.49007,0.36937,0.37601,0.22322,1.265,0.91712,0.89769,0.006931,0.006931,0.006931
33,1648.69,1.27505,0.88033,0.89749,0.48284,0.36716,0.37496,0.2246,1.25899,0.91205,0.89337,0.006832,0.006832,0.006832
34,1704.42,1.2702,0.87632,0.89478,0.4914,0.37252,0.38347,0.22695,1.26162,0.90527,0.89648,0.006733,0.006733,0.006733
35,1752.85,1.26612,0.8699,0.89438,0.49526,0.3737,0.38443,0.22902,1.25172,0.90387,0.8935,0.006634,0.006634,0.006634
36,1801.44,1.25934,0.86214,0.8947,0.48424,0.37559,0.37766,0.2246,1.25086,0.90646,0.89286,0.006535,0.006535,0.006535
37,1849.37,1.25655,0.85955,0.89334,0.4933,0.36381,0.38123,0.22662,1.2498,0.90478,0.8915,0.006436,0.006436,0.006436
38,1895.25,1.25857,0.85814,0.89278,0.49218,0.37434,0.38444,0.22794,1.24885,0.89918,0.89255,0.006337,0.006337,0.006337
39,1942.21,1.24971,0.84678,0.89029,0.49807,0.37105,0.37991,0.22713,1.25036,0.90263,0.89053,0.006238,0.006238,0.006238
40,1988.12,1.24819,0.84906,0.89103,0.49874,0.3715,0.3837,0.22788,1.24443,0.90033,0.89097,0.006139,0.006139,0.006139
41,2034.32,1.24047,0.83912,0.88979,0.49376,0.37771,0.38519,0.22911,1.24782,0.89583,0.89362,0.00604,0.00604,0.00604
42,2079.88,1.2401,0.84135,0.89077,0.50094,0.37618,0.38815,0.23325,1.24401,0.89536,0.89117,0.005941,0.005941,0.005941
43,2126.11,1.24328,0.84014,0.88887,0.49997,0.37135,0.38618,0.23043,1.24494,0.89476,0.8941,0.005842,0.005842,0.005842
44,2172.93,1.23709,0.8326,0.88804,0.49698,0.36801,0.38263,0.22947,1.24342,0.89524,0.89115,0.005743,0.005743,0.005743
45,2219.49,1.22875,0.82511,0.8871,0.49086,0.38289,0.38956,0.23316,1.24158,0.88963,0.89103,0.005644,0.005644,0.005644
46,2267.32,1.23691,0.82505,0.8882,0.49509,0.37828,0.38811,0.23178,1.23981,0.8884,0.89137,0.005545,0.005545,0.005545
47,2312.83,1.2277,0.82077,0.88707,0.50093,0.38269,0.39203,0.23512,1.23818,0.89074,0.8904,0.005446,0.005446,0.005446
48,2357.57,1.22928,0.82221,0.88674,0.50632,0.37823,0.39296,0.23555,1.23513,0.88756,0.88985,0.005347,0.005347,0.005347
49,2402.27,1.22127,0.81487,0.88458,0.49941,0.37853,0.39283,0.23518,1.23655,0.88873,0.89027,0.005248,0.005248,0.005248
50,2446.99,1.21664,0.81296,0.8856,0.4929,0.38757,0.39221,0.23468,1.23669,0.88408,0.8898,0.005149,0.005149,0.005149
51,2491.91,1.21562,0.8096,0.88384,0.50895,0.37788,0.39234,0.23522,1.23704,0.88527,0.88969,0.00505,0.00505,0.00505
52,2536.63,1.21307,0.80126,0.88378,0.50677,0.37928,0.39649,0.23895,1.22768,0.88159,0.88861,0.004951,0.004951,0.004951
53,2581.55,1.21618,0.80682,0.88456,0.51843,0.37823,0.39524,0.23746,1.22659,0.87614,0.8867,0.004852,0.004852,0.004852
54,2627.07,1.20957,0.80008,0.88183,0.50982,0.38505,0.39614,0.23826,1.22877,0.87599,0.88729,0.004753,0.004753,0.004753
55,2671.86,1.20382,0.79258,0.88218,0.49638,0.38101,0.39345,0.2356,1.23535,0.88107,0.88899,0.004654,0.004654,0.004654
56,2716.64,1.20568,0.78911,0.8803,0.49672,0.38429,0.39678,0.23782,1.22841,0.8806,0.8887,0.004555,0.004555,0.004555
57,2761.54,1.2005,0.78878,0.87998,0.51199,0.3764,0.39438,0.23649,1.22853,0.88045,0.88824,0.004456,0.004456,0.004456
58,2806.41,1.19421,0.78123,0.87966,0.50246,0.38178,0.39295,0.23519,1.22774,0.88431,0.88735,0.004357,0.004357,0.004357
59,2853.65,1.19596,0.77928,0.8801,0.49887,0.3889,0.39523,0.23792,1.22933,0.87877,0.88872,0.004258,0.004258,0.004258
60,2903.14,1.19724,0.78326,0.87931,0.50087,0.38682,0.39735,0.23903,1.22216,0.87591,0.88638,0.004159,0.004159,0.004159
61,2951.68,1.18977,0.7737,0.87882,0.51937,0.38371,0.39795,0.2407,1.22383,0.87526,0.88561,0.00406,0.00406,0.00406
62,2999.39,1.18836,0.77535,0.87808,0.50879,0.3878,0.39882,0.23901,1.22046,0.87533,0.88517,0.003961,0.003961,0.003961
63,3046.4,1.18364,0.76688,0.8779,0.5143,0.37993,0.39537,0.23688,1.22569,0.88142,0.88675,0.003862,0.003862,0.003862
64,3092.53,1.18516,0.76772,0.87806,0.52386,0.38156,0.39791,0.23953,1.22447,0.87544,0.88653,0.003763,0.003763,0.003763
65,3139.34,1.18199,0.76081,0.8763,0.49783,0.39048,0.39956,0.23986,1.22253,0.87407,0.88658,0.003664,0.003664,0.003664
66,3186.59,1.18256,0.7611,0.87715,0.52176,0.38285,0.39891,0.2389,1.22547,0.87696,0.88787,0.003565,0.003565,0.003565
67,3236.43,1.1806,0.75875,0.87644,0.51267,0.38782,0.40035,0.2402,1.22302,0.87875,0.88703,0.003466,0.003466,0.003466
68,3284.12,1.1765,0.75253,0.87459,0.5293,0.38305,0.40246,0.24131,1.21858,0.87457,0.88633,0.003367,0.003367,0.003367
69,3334.06,1.16444,0.74727,0.87449,0.52518,0.38331,0.4019,0.24182,1.22303,0.87624,0.88657,0.003268,0.003268,0.003268
70,3383.39,1.16867,0.74409,0.87508,0.51185,0.38447,0.39812,0.23929,1.22307,0.87682,0.88632,0.003169,0.003169,0.003169
71,3429.56,1.16765,0.74397,0.8731,0.51783,0.39078,0.40169,0.24148,1.2186,0.87585,0.88528,0.00307,0.00307,0.00307
72,3475.54,1.16859,0.74339,0.87317,0.51485,0.38558,0.40032,0.24069,1.22062,0.87985,0.88539,0.002971,0.002971,0.002971
73,3522.34,1.16563,0.7381,0.87356,0.51293,0.38726,0.40004,0.24016,1.22182,0.87827,0.886,0.002872,0.002872,0.002872
74,3569.43,1.17243,0.74194,0.87274,0.50544,0.39661,0.39937,0.23937,1.22348,0.87619,0.88651,0.002773,0.002773,0.002773
75,3615.17,1.14987,0.72734,0.87145,0.50102,0.39323,0.39952,0.23982,1.22432,0.87633,0.88703,0.002674,0.002674,0.002674
76,3661.76,1.15257,0.72477,0.87197,0.51238,0.38444,0.40069,0.24047,1.22317,0.87604,0.88584,0.002575,0.002575,0.002575
77,3707.8,1.15451,0.7265,0.86981,0.52115,0.38436,0.40118,0.24062,1.22139,0.87671,0.88567,0.002476,0.002476,0.002476
78,3754.35,1.15367,0.72485,0.87004,0.52222,0.38743,0.40428,0.24211,1.21839,0.8743,0.88547,0.002377,0.002377,0.002377
79,3799.88,1.14399,0.71738,0.86995,0.5252,0.38612,0.40252,0.24102,1.22084,0.87823,0.88608,0.002278,0.002278,0.002278
80,3845.32,1.14643,0.71835,0.86948,0.50914,0.39246,0.40007,0.23948,1.2238,0.88294,0.88672,0.002179,0.002179,0.002179
81,3890.57,1.14597,0.71312,0.86962,0.51467,0.38462,0.39933,0.23814,1.2218,0.88339,0.88597,0.00208,0.00208,0.00208
82,3935.84,1.14631,0.71157,0.8685,0.52142,0.38003,0.39828,0.23749,1.22282,0.88224,0.88628,0.001981,0.001981,0.001981
83,3981.08,1.13614,0.70603,0.8672,0.51284,0.38876,0.40055,0.2394,1.22193,0.88099,0.88627,0.001882,0.001882,0.001882
84,4026.14,1.13588,0.70525,0.8671,0.51725,0.38501,0.39918,0.23859,1.22075,0.88096,0.88562,0.001783,0.001783,0.001783
85,4071.54,1.13401,0.70184,0.86653,0.52617,0.38341,0.40014,0.23981,1.22246,0.88078,0.88588,0.001684,0.001684,0.001684
86,4116.87,1.13262,0.69937,0.8666,0.51331,0.3887,0.39977,0.23987,1.22329,0.879,0.88588,0.001585,0.001585,0.001585
87,4162.16,1.12663,0.69484,0.86497,0.51815,0.38474,0.39856,0.23909,1.22495,0.88147,0.88671,0.001486,0.001486,0.001486
88,4207.35,1.12049,0.68818,0.86409,0.52133,0.38647,0.39868,0.23828,1.22474,0.88585,0.88677,0.001387,0.001387,0.001387
89,4252.54,1.12541,0.69059,0.86482,0.51451,0.3873,0.39806,0.23798,1.22832,0.88783,0.88728,0.001288,0.001288,0.001288
90,4297.85,1.12394,0.69097,0.86503,0.51573,0.38453,0.39828,0.23819,1.22785,0.88871,0.88737,0.001189,0.001189,0.001189
91,4341.8,1.10506,0.66875,0.86521,0.51257,0.38053,0.39682,0.23703,1.23112,0.89032,0.88738,0.00109,0.00109,0.00109
92,4384.88,1.09524,0.65459,0.8619,0.51814,0.38003,0.39566,0.23674,1.2304,0.8911,0.88688,0.000991,0.000991,0.000991
93,4427.97,1.09275,0.65275,0.86129,0.51783,0.38157,0.39549,0.23643,1.23161,0.89299,0.88739,0.000892,0.000892,0.000892
94,4470.97,1.08573,0.6475,0.86164,0.52287,0.3789,0.39545,0.23647,1.23381,0.89372,0.88798,0.000793,0.000793,0.000793
95,4513.9,1.08107,0.64098,0.85993,0.51345,0.38325,0.39391,0.23565,1.23319,0.89512,0.88786,0.000694,0.000694,0.000694
96,4556.94,1.07581,0.63558,0.8586,0.51693,0.38254,0.39388,0.23492,1.23342,0.89533,0.88739,0.000595,0.000595,0.000595
97,4599.96,1.0744,0.63531,0.85905,0.52096,0.38232,0.39432,0.2356,1.23291,0.89633,0.88766,0.000496,0.000496,0.000496
98,4642.89,1.07098,0.63153,0.85733,0.52212,0.3807,0.39301,0.23474,1.23312,0.89751,0.88778,0.000397,0.000397,0.000397
99,4685.75,1.0707,0.63041,0.85793,0.52541,0.37778,0.39275,0.23435,1.23395,0.89872,0.88794,0.000298,0.000298,0.000298
100,4728.74,1.06883,0.62791,0.85761,0.521,0.37801,0.3929,0.23406,1.23447,0.89904,0.88799,0.000199,0.000199,0.000199
